province_name,un_smp_avg,un_sma_ipa_avg
ACEH,44.4,43
SUMATERA UTARA,48.7,47.9
SUMATERA BARAT,53.2,54.6
RIAU,51.8,51.2
JAMBI,47.5,49.3
SUMATERA SELATAN,46,48
BENGKULU,47.2,50.4
LAMPUNG,47.3,50.3
KEPULAUAN BANGKA BELITUNG,52.1,54.6
KEPULAUAN RIAU,55.5,57.3
DKI JAKARTA,60.7,66.9
JAWA BARAT,52.2,53.5
JAWA TENGAH,55.9,59.3
DI YOGYAKARTA,64.6,65.4
JAWA TIMUR,54.3,56.3
BANTEN,48.6,53.3
BALI,53.6,57.6
NUSA TENGGARA BARAT,45.2,46.2
NUSA TENGGARA TIMUR,50.7,44.7
KALIMANTAN BARAT,47.7,51.4
KALIMANTAN TENGAH,50.9,48.8
KALIMANTAN SELATAN,51.1,53.7
KALIMANTAN TIMUR,53.1,54.6
KALIMANTAN UTARA,49.9,50.2
SULAWESI UTARA,47.4,47
SULAWESI TENGAH,47.4,45.9
SULAWESI SELATAN,48.5,46.2
SULAWESI TENGGARA,49.4,47.3
GORONTALO,46.3,46.8
SULAWESI BARAT,44.4,44.4
MALUKU,52.9,43.8
MALUKU UTARA,52.6,43
PAPUA BARAT,52,48.2
PAPUA,50.3,44.5